SiteID,DateTime,Year,Latitude,Longitude,Gear,Temp_c
ASH11682,5/14/2018 8:18,2018,46.71401978,-92.14568329,Boat Electroshocker,12.94999981
ASH11683,5/14/2018 8:36,2018,46.70542145,-92.15538025,Boat Electroshocker,13
ASH11684,5/14/2018 8:59,2018,46.70336151,-92.15654755,Boat Electroshocker,13.60000038
ASH11685,5/14/2018 9:16,2018,46.69472885,-92.15677643,Boat Electroshocker,13.60000038
ASH11686,5/14/2018 9:42,2018,46.7117691,-92.16266632,Boat Electroshocker,
ASH11689,5/14/2018 10:01,2018,46.70991898,-92.1753006,Boat Electroshocker,13
ASH11690,5/14/2018 10:23,2018,46.69599915,-92.16943359,Boat Electroshocker,14.89999962
ASH11691,5/14/2018 10:54,2018,46.67901993,-92.18845367,Boat Electroshocker,13.19999981
ASH11692,5/14/2018 11:12,2018,46.67763138,-92.19915771,Boat Electroshocker,13.10000038
ASH11693,5/14/2018 11:31,2018,46.6852684,-92.19171143,Boat Electroshocker,14
ASH11694,5/14/2018 12:10,2018,46.73596954,-92.12840271,Boat Electroshocker,15.10000038
ASH11695,5/14/2018 12:29,2018,46.74168015,-92.13007355,Boat Electroshocker,14.30000019
ASH11696,5/14/2018 12:45,2018,46.74980164,-92.12449646,Boat Electroshocker,15.80000019
ASH11697,5/14/2018 13:05,2018,46.75107956,-92.11315155,Boat Electroshocker,14.60000038
ASH11698,5/14/2018 13:27,2018,46.75053024,-92.0742569,Boat Electroshocker,15.89999962
ASH11699,5/15/2018 8:18,2018,46.69800949,-92.00348663,Boat Electroshocker,12.39999962
ASH11700,5/15/2018 8:45,2018,46.68992996,-91.98429871,Boat Electroshocker,12.5
ASH11701,5/15/2018 9:00,2018,46.68508911,-92.01352692,Boat Electroshocker,11.80000019
ASH11702,5/15/2018 9:40,2018,46.69935989,-92.00830078,Boat Electroshocker,11.30000019
ASH11703,5/15/2018 10:00,2018,46.69491959,-92.01461792,Boat Electroshocker,11.69999981
