"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
1993-10-01,"Atlantic Salmon","4224","571",NA,"U"
1993-10-01,"Atlantic Salmon","4225","565",NA,"U"
1993-10-01,"Atlantic Salmon","4223","520",NA,"U"
1993-10-01,"Atlantic Salmon","4221","531",NA,"U"
1993-10-01,"Atlantic Salmon","4226","478",NA,"U"
1993-10-01,"Atlantic Salmon","4222","640",NA,"U"
1993-10-04,"Atlantic Salmon","4229","554",NA,"U"
1993-10-04,"Atlantic Salmon","4227","542",NA,"U"
1993-10-04,"Atlantic Salmon","4228","517",NA,"U"
1993-10-04,"Atlantic Salmon","4235","578",NA,"U"
1993-10-04,"Atlantic Salmon","4234","536",NA,"U"
1993-10-04,"Atlantic Salmon","4230","495",NA,"U"
1993-10-04,"Atlantic Salmon","4233","520",NA,"U"
1993-10-04,"Atlantic Salmon","4236","483",NA,"U"
1993-10-04,"Atlantic Salmon","4231","518",NA,"U"
1993-10-04,"Atlantic Salmon","4237","545",NA,"U"
1993-10-06,"Atlantic Salmon","4244","595",NA,"U"
1993-10-06,"Atlantic Salmon","4247","523",NA,"U"
1993-10-06,"Atlantic Salmon","4242","561",NA,"U"
1993-10-06,"Atlantic Salmon","4246","558",NA,"U"
1993-10-06,"Atlantic Salmon","4245","499",NA,"U"
1993-10-06,"Atlantic Salmon","4238","572",NA,"U"
1993-10-06,"Atlantic Salmon","4240","564",NA,"U"
1993-10-06,"Atlantic Salmon","4243","580",NA,"U"
1993-10-06,"Atlantic Salmon","4239","665",NA,"U"
1993-10-06,"Atlantic Salmon","4249",NA,NA,"U"
1993-10-08,"Atlantic Salmon","4253","546",NA,"U"
1993-10-08,"Atlantic Salmon","4250","531",NA,"U"
1993-10-08,"Atlantic Salmon","4252","509",NA,"U"
1993-10-08,"Atlantic Salmon","4251","530",NA,"U"
1993-10-11,"Atlantic Salmon","4254","540",NA,"U"
1993-10-11,"Atlantic Salmon","4258","475",NA,"U"
1993-10-11,"Atlantic Salmon","4255","555",NA,"U"
1993-10-11,"Atlantic Salmon","4256","550",NA,"U"
1993-10-11,"Atlantic Salmon","4261","535",NA,"U"
1993-10-11,"Atlantic Salmon","4257","585",NA,"U"
1993-10-20,"Atlantic Salmon","4263","566",NA,"U"
1995-09-22,"Atlantic Salmon","A484","545","650","U"
1995-09-22,"Atlantic Salmon","A483","598","900","U"
1995-09-22,"Atlantic Salmon","A482","668","2800","U"
1995-09-22,"Atlantic Salmon","A481","468","1150","U"
1995-09-22,"Atlantic Salmon","A480","580","1400","U"
1995-09-22,"Atlantic Salmon","A969","513","1200","U"
1995-09-22,"Atlantic Salmon","A970","557","1800","U"
1995-10-11,"Atlantic Salmon","8971","543","1400","U"
1995-10-11,"Atlantic Salmon","8972","558","1580","U"
1995-10-16,"Atlantic Salmon","","587",NA,"U"
1995-10-16,"Atlantic Salmon","","521",NA,"U"
1995-10-20,"Atlantic Salmon","A973","591","1500","U"
1996-10-10,"Atlantic Salmon","A387","540","1300","U"
1996-10-10,"Atlantic Salmon","A388","485","900","U"
1996-10-10,"Atlantic Salmon","A389","565","1450","U"
1996-10-14,"Atlantic Salmon","A390","535","1400","U"
1996-10-14,"Atlantic Salmon","A391","480","1180","U"
1996-10-14,"Atlantic Salmon","A392","721","3400","U"
1996-10-14,"Atlantic Salmon","A393","499","1350","U"
1996-10-14,"Atlantic Salmon","A394","463","850","U"
1996-10-14,"Atlantic Salmon","A395","474","900","U"
1996-10-14,"Atlantic Salmon","A396","531","1550","U"
1996-10-20,"Atlantic Salmon","A027","540",NA,"U"
1997-09-17,"Atlantic Salmon","295","485","1200","U"
1997-09-17,"Atlantic Salmon","296","513","1400","U"
1997-09-17,"Atlantic Salmon","297","478","1000","U"
1997-09-17,"Atlantic Salmon","298","485","1100","U"
1997-09-17,"Atlantic Salmon","299","475","1200","U"
1997-09-17,"Atlantic Salmon","300","494","1200","U"
1997-09-22,"Atlantic Salmon","A091","515","1300","U"
1997-09-22,"Atlantic Salmon","A092","513","1000","U"
1997-09-22,"Atlantic Salmon","A093","459","1000","U"
1997-09-22,"Atlantic Salmon","","499",NA,"U"
1997-09-22,"Atlantic Salmon","","505",NA,"U"
1997-09-26,"Atlantic Salmon","A094","494","1200","U"
1997-09-29,"Atlantic Salmon","A095","535","1500","U"
1997-09-29,"Atlantic Salmon","A096","545","1600","U"
1997-09-29,"Atlantic Salmon","A097","478","1250","U"
1997-10-01,"Atlantic Salmon","A098","550","1700","U"
1997-10-01,"Atlantic Salmon","A099","520","1450","U"
1997-10-01,"Atlantic Salmon","A651","560","1800","U"
1997-10-01,"Atlantic Salmon","A652","490","1200","U"
1997-10-01,"Atlantic Salmon","A653","545","1500","U"
1997-10-01,"Atlantic Salmon","A654","496","1150","U"
1997-10-01,"Atlantic Salmon","A655","528","1400","U"
1997-10-01,"Atlantic Salmon","A656","514","1250","U"
1997-10-01,"Atlantic Salmon","A657","570","1850","U"
1997-10-01,"Atlantic Salmon","A658","492","1100","U"
1997-10-01,"Atlantic Salmon","A659","520","1500","U"
1997-10-03,"Atlantic Salmon","A660","561","1700","U"
1997-10-03,"Atlantic Salmon","A661","526","1400","U"
1997-10-06,"Atlantic Salmon","A663","567","1850","U"
1997-10-06,"Atlantic Salmon","A664","517","1550","U"
1997-10-06,"Atlantic Salmon","A665","509","1150","U"
1997-10-06,"Atlantic Salmon","A666","497","1200","U"
1997-10-06,"Atlantic Salmon","A667","543","1400","U"
1997-10-06,"Atlantic Salmon","A668","550","1750","U"
1997-10-06,"Atlantic Salmon","A670","467","950","U"
1997-10-06,"Atlantic Salmon","A671","531","1400","U"
1997-10-06,"Atlantic Salmon","A672","510","1450","U"
1997-10-06,"Atlantic Salmon","A674","511","1500","U"
1997-10-06,"Atlantic Salmon","A675","521","1700","U"
1997-10-06,"Atlantic Salmon","A676","505","1400","U"
1997-10-06,"Atlantic Salmon","A677","537","1600","U"
1997-10-08,"Atlantic Salmon","A678","550","1500","U"
1997-10-08,"Atlantic Salmon","A679","501","1000","U"
1997-10-08,"Atlantic Salmon","A680","502","1500","U"
1997-10-08,"Atlantic Salmon","A681","515","1200","U"
1997-10-08,"Atlantic Salmon","A682","502","1400","U"
1997-10-08,"Atlantic Salmon","A683","470","1000","U"
1997-10-08,"Atlantic Salmon","A684","545","1600","U"
1997-10-08,"Atlantic Salmon","A685","516","1600","U"
1997-10-08,"Atlantic Salmon","A686","530","1500","U"
1997-10-08,"Atlantic Salmon","A687","530","1300","U"
1997-10-08,"Atlantic Salmon","A688","517","1500","U"
1997-10-10,"Atlantic Salmon","A689","485","1120","U"
1997-10-10,"Atlantic Salmon","A690","551","1370","U"
1997-10-10,"Atlantic Salmon","A691","546","1300","U"
1997-10-10,"Atlantic Salmon","A692","538","1260","U"
1997-10-10,"Atlantic Salmon","A693","487","840","U"
1997-10-10,"Atlantic Salmon","A694","538","1280","U"
1997-10-10,"Atlantic Salmon","A696","549","1140","U"
1997-10-10,"Atlantic Salmon","A697","564","1350","U"
