ObjectID,GlobalID,Observer Name,Survey Season,Site,Date,Start Time,Stop Time,# Males,# Females,# Unknown Sex,# Juveniles,Total Number of Western Snowy Plovers Observed,Behavior,Other,Number of nests (if applicable),Band Combinations,Comments,"For the two geopoint questions below, collect your starting location for the first question and ending location for the second question.",locRepeat_count,CreationDate,Creator,EditDate,Editor,x,y
1,9e88268e-3aa1-43ad-8e74-b33480ebe908,C. Strong,winter,agate_beach,1/16/2021 8:00:00 PM,12:06,13:10,0,0,0,0,0,other,None,,,,,2,1/16/2021 11:36:49 PM,,1/16/2021 11:36:49 PM,,0,0
2,78a0bf03-9dc5-4af7-83a4-9faeaf0be538,R. Lowe,winter,bayshore_spit,1/18/2021 8:00:00 PM,09:29,10:07,0,0,49,0,49,walking,,,Will report later,,,2,1/18/2021 7:07:54 PM,,1/18/2021 7:07:54 PM,,0,0
3,42fd95c7-03dc-4117-850a-e44824b54c84,Gary Maschmeyer,winter,crissey_field_to_pelican_state_,1/16/2021 8:00:00 PM,11:15,12:55,0,0,0,0,0,other,NA,0,,Many logs washed up by previous storms covered a major part of the surveyed beach. 15 beach walkers and two unleashed dogs were observed while I conducted my survey. The weather was clear with large ocean waves.,,2,1/19/2021 5:18:11 AM,,1/19/2021 5:18:11 AM,,0,0
4,3a6295d8-9b29-40a5-8a04-06cae0cb6e03,R. Lowe,winter,south_alsea_bay,1/18/2021 8:00:00 PM,11:30,12:05,0,0,0,0,0,,,,,Low dunes have been swept away by recent king tides and large waves leaving no plover roosting habitat on this beach.  See attached photo.  No snowy plovers seen.,,2,1/19/2021 5:59:36 PM,,1/19/2021 5:59:36 PM,,0,0
5,b660d37d-3bb0-4d9e-88fa-b1aa3f83a8b9,D. Leal,winter,nehalem_spit,1/16/2021 8:00:00 PM,09:10,11:30,7,7,10,6,30,walking,,,"O/W/O:B  M
A/W/A:K  M
O/R/O:W  M
W/Y/W:K  F
?:B  F Bird one one leg then moved and was unable to relocate.
Y/L/Y:B  F
O/G/O:? Unk Right leg band probably faded N. Looked like old yellow-brown color.
A/Y/A:Y  Unk
O/R/O:Y  F
W/G:Y  F
O/R/O:W  M
G/O/G:Y  Unk
O/R:W  F
B/R:V  F
R/V:O  M
W/V/W:Y  Unk
?:V M Bird flew and didn't relocate.","Sorry I was not writing down the juveniles as I was using the old data form in the field.  Most of the unbanded, unknown sex, birds looked to have the scaled juvenile feathers.  My number of 6 may be a little high for juveniles.

All of the birds this year were adjacent to the restoration area to the south, whereas in the past two years the birds were near the northern park boundary.  This may be due to the large tides washing up much of the beach in the north and creating a sharp cut bank rather than a smooth slope or extended beach and wrack line like usual.

I did not make it all the way to the south jetty this year as the tide was coming in and running up the beach pretty high.  I do not believe I would have missed many birds as the beach gets steeper and much narrower with a lot of large wood and high bank the further south you go. ",,2,1/19/2021 6:05:52 PM,,1/19/2021 6:05:52 PM,,0,0
6,aa920d10-235f-4d8a-8e78-b709dba1a4cc,C. Burns,winter,tahkenitch_creek_to_umpqua_rive,1/19/2021 8:00:00 PM,11:08,15:21,0,0,15,0,15,walking,,,"X:X
RL:GR
L:B
YBY:O
OVO:O
X:X
X:X
Aqua over white on one band left leg:?
?:B
?:B
O:?
Could not see legs on 2 birds
VY:B
X:X
? = leg could not be seen","Some plovers were observed foraging. 
2 ravens observed
Approximately 170 sanderlings
5 WEGU
Courtney Gabriel USFS was a second observer on the survey",,2,1/20/2021 12:49:10 AM,,1/20/2021 12:49:10 AM,,0,0
7,710c036c-7d63-4e18-816b-d162188ee02f,J. Badger,winter,otter_point_to_rogue_river,1/19/2021 8:00:00 PM,13:30,15:30,0,0,3,0,3,flying,,,,,,2,1/20/2021 5:42:41 PM,,1/20/2021 5:42:41 PM,,0,0
8,084ecc49-6866-4d76-8bb8-1f335ead89c1,R. Lowe,winter,bayshore_spit,1/18/2021 8:00:00 PM,11:14,11:30,0,0,0,0,0,,,,"AVA:Y, AYA:R, BGB:W, GRG:R, GYG:O, LB:Y, LO:W, LOL:V, LVL:K. OR:AB, RB:K, RG:Y,RL:X, RV:YG, RWR:V, VG:W, VL:O, VR:B, WO:B, WV:Y, YOY:B, YOY:R, YV:N  ",Please add these color band combinations to the survey I conducted on 1/18.21,,2,1/20/2021 7:21:43 PM,,1/20/2021 7:21:43 PM,,0,0
9,ab317453-076f-48a9-85ff-30dc96378739,H. Tuers Lance,winter,bayshore_spit,1/20/2021 8:00:00 PM,11:12,12:19,0,0,0,0,0,,,,,No birds observed. Started at quail street and ended at 100’n of Cunard/bayshore 44.45246 -124.08077,,2,1/20/2021 8:24:21 PM,,1/20/2021 8:24:21 PM,,0,0
10,46671e85-b184-485f-8021-a71a3e25d514,J Kirchner ,winter,bayshore_spit,1/20/2021 8:00:00 PM,11:40,13:00,0,0,35,0,35,walking,,,At least 6 banded birds,123 program got closed out before saving lost band combos at end of survey,,2,1/21/2021 2:13:26 PM,,1/21/2021 2:13:26 PM,,0,0
11,aa78a9ab-e01c-4063-8c83-14eb101ae6ae,R. Lowe,winter,yaquina_point,1/20/2021 8:00:00 PM,15:05,03:15,0,0,39,0,39,walking,,,"AY:O, GB:V, GY:N, LB:O, LOL:V, LVL:K, OG:G, OYO:O, RA:V, RV:R, S:V, VB:B, VL:B, VW:Y, WVW:Y, YG:R, YOY:B, YWY:K, YWY:Y",This survey was conducted simultaneously with the South Beach survey conducted by Steve and Rachael Holzman so we could get an accurate number of birds for the Newport area.  They recorded no birds so they were all on the north side of the bay.  ,,2,1/21/2021 5:42:18 PM,,1/21/2021 5:42:18 PM,,0,0
12,a28f4eda-b387-4e2d-859e-792248d5bc5b,"L.Ritzman, R.Ashley",winter,graveyard_spit,1/20/2021 8:00:00 PM,10:15,12:00,0,0,0,0,0,other,,,,"Started from nw end to se end of GYS. Flushed female CIHU on landward side of berm. Observed 3 adult and 4 juvenile HALE, throughout survey. And observed 55 COBR at the se end intertidal slough area. No adult plovers present or observed on GYS ",,2,1/21/2021 7:45:51 PM,,1/21/2021 7:45:51 PM,,0,0
13,7263a2c5-a620-49d0-8e39-bea201cf29cb,"Candies V Sundstrom, Warren Michaelis",winter,midway_beach,1/19/2021 8:00:00 PM,08:44,12:40,0,0,52,0,52,walking,,,"S:W, R/W/R:B, O/G/O:K, O/R:B, V/A/V:B, A/B:V, A/B/A:B, L/Y:O, V/R:Y, G/Y:Y, Y/W/Y:B, B/L:B, RV:GV",,,2,1/22/2021 6:25:27 PM,,1/22/2021 6:25:27 PM,,0,0
