ObjectID,GlobalID,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,422c00a8-f4d6-49ad-8f36-7dd30c0e574f,9e88268e-3aa1-43ad-8e74-b33480ebe908,1/16/2021 11:36:49 PM,,1/16/2021 11:36:49 PM,,-124.062279477719,44.7462836986802
2,6ef4d07b-cf09-4d5b-827c-f1671abc9b8f,9e88268e-3aa1-43ad-8e74-b33480ebe908,1/16/2021 11:36:49 PM,,1/16/2021 11:36:49 PM,,-124.06030972179,44.6526288110448
3,95353b33-8edb-4024-82c0-d163c336ca12,78a0bf03-9dc5-4af7-83a4-9faeaf0be538,1/18/2021 7:07:54 PM,,1/18/2021 7:07:54 PM,,-124.078454417831,44.424496639713
4,8efec73d-b420-419b-8b1b-7133366f6fbb,78a0bf03-9dc5-4af7-83a4-9faeaf0be538,1/18/2021 7:07:54 PM,,1/18/2021 7:07:54 PM,,-124.083815272261,44.4370842809375
5,9b22adb5-14cf-4356-88a3-d74e3decaa03,42fd95c7-03dc-4117-850a-e44824b54c84,1/19/2021 5:18:11 AM,,1/19/2021 5:18:11 AM,,-124.210700097878,42.0050931637735
6,d085c58b-1212-41fe-84cf-1d0c932cb78b,42fd95c7-03dc-4117-850a-e44824b54c84,1/19/2021 5:18:11 AM,,1/19/2021 5:18:11 AM,,-124.210115583514,41.9984666266178
7,78661020-5c27-49cf-867d-c0646181a1ad,3a6295d8-9b29-40a5-8a04-06cae0cb6e03,1/19/2021 5:59:36 PM,,1/19/2021 5:59:36 PM,,-124.086585557396,44.4004794929263
8,596dc474-926b-4830-8e01-b260636410b9,3a6295d8-9b29-40a5-8a04-06cae0cb6e03,1/19/2021 5:59:36 PM,,1/19/2021 5:59:36 PM,,-124.077908991862,44.4204149230802
9,e218bb0a-4904-4f29-837e-f0702ee49fe9,b660d37d-3bb0-4d9e-88fa-b1aa3f83a8b9,1/19/2021 6:05:52 PM,,1/19/2021 6:05:52 PM,,-123.939720343933,45.7035077751904
10,34bfe912-e81b-45e4-8d0d-73e3e2f3d44f,b660d37d-3bb0-4d9e-88fa-b1aa3f83a8b9,1/19/2021 6:05:52 PM,,1/19/2021 6:05:52 PM,,-123.941279386596,45.6685258496924
11,4f667b35-6342-4799-8ae9-6cf8667b1ff2,aa920d10-235f-4d8a-8e78-b709dba1a4cc,1/20/2021 12:49:10 AM,,1/20/2021 12:49:10 AM,,-124.171348229123,43.790044895542
12,3fd82d6a-363b-4a90-80f5-f6b6d211c252,aa920d10-235f-4d8a-8e78-b709dba1a4cc,1/20/2021 12:49:10 AM,,1/20/2021 12:49:10 AM,,-124.204748017524,43.6727203252733
13,e62917d4-0682-40c7-80e6-714ba1c22c57,710c036c-7d63-4e18-816b-d162188ee02f,1/20/2021 5:42:41 PM,,1/20/2021 5:42:41 PM,,-124.423274296064,42.461773519152
14,4ba27447-f260-4d1a-86e5-ddec630e2a70,710c036c-7d63-4e18-816b-d162188ee02f,1/20/2021 5:42:41 PM,,1/20/2021 5:42:41 PM,,-124.430034068177,42.4231421689882
15,7c350b1b-3c0c-4c0f-8e24-e7c2ea143321,084ecc49-6866-4d76-8bb8-1f335ead89c1,1/20/2021 7:21:43 PM,,1/20/2021 7:21:43 PM,,-124.083683707571,44.4364835578645
16,db11cf86-5f34-451e-8d6b-98f2ce37012e,084ecc49-6866-4d76-8bb8-1f335ead89c1,1/20/2021 7:21:43 PM,,1/20/2021 7:21:43 PM,,-124.078416725057,44.4249613570909
17,2de6c25e-f9aa-40f9-8bd6-5250fb13bc96,ab317453-076f-48a9-85ff-30dc96378739,1/20/2021 8:24:21 PM,,1/20/2021 8:24:21 PM,,-124.080530015789,44.4525399964547
18,b7130ff3-19e7-4163-81b0-a7f24a15a7b9,ab317453-076f-48a9-85ff-30dc96378739,1/20/2021 8:24:21 PM,,1/20/2021 8:24:21 PM,,-124.0807,44.47804
19,4042016c-d3bc-4d2c-82ec-ee709ee95c2d,46671e85-b184-485f-8021-a71a3e25d514,1/21/2021 2:13:26 PM,,1/21/2021 2:13:26 PM,,-124.082251859595,44.4526404534785
20,48c6dc1b-bfe6-4ac7-88c2-c11c84a5ef1e,46671e85-b184-485f-8021-a71a3e25d514,1/21/2021 2:13:26 PM,,1/21/2021 2:13:26 PM,,-124.078290519974,44.4260499053044
21,1e3a051e-b478-4f1d-887d-55c2e6112d7a,aa78a9ab-e01c-4063-8c83-14eb101ae6ae,1/21/2021 5:42:18 PM,,1/21/2021 5:42:18 PM,,-124.06396533319,44.621709753599
22,be6f1e92-9699-4975-81f1-d7d764af8a5f,aa78a9ab-e01c-4063-8c83-14eb101ae6ae,1/21/2021 5:42:18 PM,,1/21/2021 5:42:18 PM,,-124.065892698897,44.6254785872758
23,9a759944-e9d0-46a6-8af9-6702ab243c88,a28f4eda-b387-4e2d-859e-792248d5bc5b,1/21/2021 7:45:51 PM,,1/21/2021 7:45:51 PM,,-124.030734020529,46.7228722806252
24,b5ad82da-50e0-4848-8acd-bc602de60664,a28f4eda-b387-4e2d-859e-792248d5bc5b,1/21/2021 7:45:51 PM,,1/21/2021 7:45:51 PM,,-123.989339100203,46.706706512243
25,e21d3027-a95e-42c6-8bce-039bb9f6d24c,7263a2c5-a620-49d0-8e39-bea201cf29cb,1/22/2021 6:25:27 PM,,1/22/2021 6:25:27 PM,,-124.112298021365,46.849187616401
26,de79cb08-05b7-43ef-8b25-5e7cad03eb92,7263a2c5-a620-49d0-8e39-bea201cf29cb,1/22/2021 6:25:27 PM,,1/22/2021 6:25:27 PM,,-124.078284362229,46.7373815961954
27,cb1377b8-2847-43a1-885c-db76bf4a90e9,56d0fdc5-2eeb-446c-852d-2e2813eaadcf,1/22/2021 6:33:39 PM,,1/22/2021 6:33:39 PM,,-124.174846238186,46.9628259171948
28,6a90cd47-2117-4250-8101-265e891955b7,56d0fdc5-2eeb-446c-852d-2e2813eaadcf,1/22/2021 6:33:39 PM,,1/22/2021 6:33:39 PM,,-124.177162718354,47.07033962898
29,d953cea5-c7c8-4ac6-8f0e-e8a834e48f37,6cd08148-e36d-4825-8f8d-b3df18172715,1/22/2021 6:36:43 PM,,1/22/2021 6:36:43 PM,,-124.17671968694,47.0703764142773
30,e395ca46-91a2-409c-8bd3-5ae087028995,6cd08148-e36d-4825-8f8d-b3df18172715,1/22/2021 6:36:43 PM,,1/22/2021 6:36:43 PM,,-124.185956465727,47.1396502911487
